	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985277405903360002	2018-04-14 22:03:33	?Srta Camargo Câmera Prive?	"RT @thicudo: ??.?.?.?.?.?.?.?.?.?.??

???@SrtaCamargoCam??? 

?#FotosDiariamente
?#ContatoExclusivo
?#ConteudoHot
?#SorteiodeShows

Apenas…"	1	0		8888	923
985277130975178753	2018-04-14 22:02:28	MD ??	@iamblessed04 @bieloficiaal 1516 1719-3 Bradesco kkkkkkk	0	0		147	191
985276013948096512	2018-04-14 21:58:01	Deni ?	@Bancointer eu te amo! Acabei de pagar R$9,70 no Bradesco só pra transferir um dinheiro pelo App. Socorro	0	0		383	844
985274238767595521	2018-04-14 21:50:58	ké	hj eu já briguei na net, no Bradesco e agr vem apple e nextel É ISTO	0	0		3096	101
985273860076589057	2018-04-14 21:49:28	Editora Roncarati	Via @estadao: Ex-Superintendente da Susep presidirá comitê em união Swiss Re/Bradesco -  https://t.co/O0vhgEztuF	0	0		1410	1908
985273159950700544	2018-04-14 21:46:41	moysés	RT @MariDiniz086: Em 2016 foi descoberto um câncer na glândula supra renal da minha filha Caroline !Foi criada a campanha #todosjuntospelac…	953	0		112	712
985272141565300737	2018-04-14 21:42:38	Bradesco	@pcaricchio Oi! Vc utiliza o token no celular? O que houve?	0	0		157212	4634
985272139573055489	2018-04-14 21:42:38	Caroline M ?	@Bradesco Acabei de falar aí em cima!	0	0		10618	913
985271917031645184	2018-04-14 21:41:45	Mana Leeh Avalanx ?	Vai ter reversão de salto na fundação Bradesco Siim ! Kkkkkk	0	0	Place(_api=<tweepy.api.API object at 0x0000022D1C732470>, id='0933c11f6b472a2b', url='https://api.twitter.com/1.1/geo/id/0933c11f6b472a2b.json', place_type='city', name='Campinas', full_name='Campinas, Brasil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1C732470>, type='Polygon', coordinates=[[[-47.2450492, -23.06071], [-46.815387, -23.06071], [-46.815387, -22.729279], [-47.2450492, -22.729279]]]), attributes={})	412	323
985271856801484802	2018-04-14 21:41:30	Bradesco	@UmaFilosofando Oi! Por favor, encaminhe um print por DM, da tela que aparece pra vc na tentativa de cadastro. https://t.co/AZr1IzXD1m	0	0		157212	4634
985271578488377344	2018-04-14 21:40:24	nome maneiro	@comistrajo @EuSouLivres Itaú, Santander e Bradesco são estatais desde quando??	0	1		114	181
985271363328987140	2018-04-14 21:39:33	Bradesco	@anotherfolker Oi! Essa transferência é entre contas do Bradesco? O que houve na tentativa de realizar essa transação pelo app e na agência?	0	0		157212	4634
985270354515054593	2018-04-14 21:35:32	Rumo ao Octa	@NinoDinarelli Não é querer ser chato, mas pode ver bancos mesmo, o pior atendimento são na Caixa e Banco do Brasil… https://t.co/xhBAU8PHMb	0	0		610	617
985269802678849536	2018-04-14 21:33:21	Black	RT @MariDiniz086: Em 2016 foi descoberto um câncer na glândula supra renal da minha filha Caroline !Foi criada a campanha #todosjuntospelac…	953	0		77	203
985269698215497728	2018-04-14 21:32:56	Bradesco	@nthcorrea Oi! Quando vc solicitou o cartão da conta? Vc verificou se ele foi entregue na agência?	0	0		157212	4634
985269535937789952	2018-04-14 21:32:17	??.?.?.?.?.?.??	"??.?.?.?.?.?.?.?.?.?.??

???@SrtaCamargoCam??? 

?#FotosDiariamente
?#ContatoExclusivo
?#ConteudoHot
?… https://t.co/Rq25nmUzVw"	1	1		11353	1983
985269278151790593	2018-04-14 21:31:15	Santos, eu te amo!!!	Tem Bradesco na Avenida Pacaembu?	0	0		397	533
985269273483448320	2018-04-14 21:31:14	Eneida Pessoa Mz	"RT @PortalTrendsTop: CONTA: CAROLINE APARECIDA DINIZ MOSCARDINI
AGÊNCIA: 6564-1
CONTA POUPANÇA: 1001166-3
BANCO: BRADESCO
CPF: 128877196-70…"	149	0		2373	2656
985269101793865729	2018-04-14 21:30:33	Mari Diniz	"RT @PortalTrendsTop: CONTA: CAROLINE APARECIDA DINIZ MOSCARDINI
AGÊNCIA: 6564-1
CONTA POUPANÇA: 1001166-3
BANCO: BRADESCO
CPF: 128877196-70…"	149	0		5510	6007
985268587609886720	2018-04-14 21:28:31	Bradesco	@WalidHak Oi! Eu vou solicitar o bloqueio do envio dessas mensagens. Por favor, encaminhe o seu número de telefone… https://t.co/xtM6NBMpkS	0	0		157212	4634
985267891820998656	2018-04-14 21:25:45	Caroline M ?	@Bradesco Lojas americanas e C&amp;A, o da C&amp;a solicitei uma nova senha em novembro, já liguei mais de 10 vezes e a sen… https://t.co/5qryfYM8uk	0	0		10618	913
985264737968586752	2018-04-14 21:13:13	Mariana	@renzgui sim aqui tbm tem isso com o itaú e alguns tem ~convênio~ com o bradesco. com ctz vou abusar disso quando me formar	0	0		1133	322
985263122234642433	2018-04-14 21:06:48	Larissa	@chanyongguk não estou conseguindo mandar dm! Tenho Itaú, Bradesco e Caixa	0	0		7365	717
985262397626703874	2018-04-14 21:03:55	Bradesco	@ramoriim Oi! Vc pode consultar a rede de atendimento aqui: https://t.co/3QllASvaa1.	0	0		157212	4634
985262287035551744	2018-04-14 21:03:29	Vinicius	@Bradesco Abri uma conta Click em fevereiro, até o presente momento não recebi cartão algum e nenhuma opção via bio… https://t.co/aeAd3nQRXx	0	0	Place(_api=<tweepy.api.API object at 0x0000022D1C732470>, id='6d5542f8d837770d', url='https://api.twitter.com/1.1/geo/id/6d5542f8d837770d.json', place_type='city', name='Curitiba', full_name='Curitiba, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x0000022D1C732470>, type='Polygon', coordinates=[[[-49.3916434, -25.6447517], [-49.1852775, -25.6447517], [-49.1852775, -25.3457471], [-49.3916434, -25.3457471]]]), attributes={})	371	193
985261664139440128	2018-04-14 21:01:00	Marcel	@EuSouLivres itaú patrocina cbf, santander a libertadores, bb o vôlei multicampeão, bradesco o cob... mas a caixa n… https://t.co/BmRKQ9Xi1c	0	0		257	248
