	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
985874679104753664	2018-04-16 13:36:54	?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		488	222
985874637589565441	2018-04-16 13:36:44	Índiazinha	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		2055	968
985874524842397696	2018-04-16 13:36:18	O papa que solta feitiço	RA paz hoje todo mundo decidiu ter atendimento na mesa no banco do brasil	0	0		675	588
985874263818342406	2018-04-16 13:35:15	Julya	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		851	858
985874156456697856	2018-04-16 13:34:50	?Liliana?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		1246	853
985873673461563392	2018-04-16 13:32:55	¨?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		1764	3351
985873617027305472	2018-04-16 13:32:41	wanderlust ?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		2456	2297
985873474592870400	2018-04-16 13:32:07	Gabriela	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		1756	1180
985872741956976640	2018-04-16 13:29:12	paula	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		542	856
985872626185883649	2018-04-16 13:28:45	Lucas Schneider®	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		2702	1798
985872464163913728	2018-04-16 13:28:06	Manon	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		132	211
985872438184562690	2018-04-16 13:28:00	irda	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		1557	446
985871975435440128	2018-04-16 13:26:10	Amanda Leite	Boletos bancários, mensagem do Banco do Brasil https://t.co/OAGGl0rgo3	0	0	Place(_api=<tweepy.api.API object at 0x00000135C270F400>, id='5722ff20ba67083b', url='https://api.twitter.com/1.1/geo/id/5722ff20ba67083b.json', place_type='city', name='Brasília', full_name='Brasília, Brazil', country_code='BR', country='Brazil', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x00000135C270F400>, type='Polygon', coordinates=[[[-48.285982, -16.0524045], [-47.307264, -16.0524045], [-47.307264, -15.5001029], [-48.285982, -15.5001029]]]), attributes={})	237	238
985871425541214208	2018-04-16 13:23:59	triZz ?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		417	312
985870949055639553	2018-04-16 13:22:05	thay?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		3511	149
985870716045332480	2018-04-16 13:21:09	sa?? ?? ??? . . (18_04)	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		77	103
985870571589328896	2018-04-16 13:20:35	Brrrru	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		209	707
985870521542873088	2018-04-16 13:20:23	natural disaster ?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		3929	3044
985870431533101056	2018-04-16 13:20:02	steph?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		5646	4183
985870340168568834	2018-04-16 13:19:40	fernaja	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		8227	3035
985870204705148929	2018-04-16 13:19:08	mojo	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		1357	773
985870171402395648	2018-04-16 13:19:00	my dearest, angelica | mileva mari?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		3307	2145
985870070143385601	2018-04-16 13:18:35	2L	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		468	400
985869821287063552	2018-04-16 13:17:36	anna ? yan	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		5414	3817
985869654743764993	2018-04-16 13:16:56	bibina	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		570	891
985869555066163200	2018-04-16 13:16:33	F r A n C e S c A ?	"RT @Chanyyuta: Peço a ajuda  para salvar a  vida meu gato niquinho, pois sofreu uma insuficiência respiratória e renal. 

Agência: 6858-6 (…"	10104	0		85	158
985869385561772032	2018-04-16 13:15:52	Lenilson Guedes	Ministro Fachin destrava empréstimos da Paraíba com Banco do Brasil e Banco Mundial https://t.co/usIhCuJn7U	0	0		7703	6757
985869245451046913	2018-04-16 13:15:19	Lucia Galdo Camelier	@alvaromsantos1 Acho o @meirelles um ótimo nome, ficha limpa e competente. Já provou que sabe fazer acontecer, tant… https://t.co/3QSYIrBZTF	0	2		2064	2021
