index,conteudo,CLASSIFICAÇÃO
1294,sacan car carta pra ter cheg  mes atr agor nad agenc dua vez fal carta entreg ce tao mand,produto
1161,rt vc vao par cobr extrat consolid cancel    agenc rua pinh sp,produto
851,ai qdo ach vai par ench sac mand msg ped cpf putaquepar,marca
977,quer contat urgent banc pra entend soluc situaca,marca
1131,troq santand melhor cois,marca
987,obrig resolv gerent,marca
594,quer ser corrent,produto
245,patr futebol cham sant itau util pag bols estud brasil inv ench panc dess hgent cbf vou fech minhg cont,marca
798,sim agenc  volt la resolv gravam inclu hoj     sistem detran por mult dad carr aind transfer,produto
410, ligaco centr carto derrub moment exat algu vai fal comig menos h prontuari aparec tel atend pod pux a ligaca nenhum confront nenhum palavra evit pas,marca
1065,disponibil samsung pay,marca
462,der praz cheg carta dia  dess me dia  nad carta import verdad quer cadastr itoken pra faz movimentaco,produto
818,urgent respond mens favor,produto
976,prim vez q cont nel banc otim inclusiv oi patrocin,marca
511,ag  impossi atend presenc banc acab paz espirit ser paci pouc ter tod temp mund disponi ser atend,marca
86,cad itau respond,marca
61,consegu casastr itaucard appl pay http t co ekaaadu,produto
452,resolv lig cobr alg pag pass dat venc,marca
389,hoj consegu faz pag proxim damn,marca
218,tud q ligaca cbf del ner fic imag arranh,marca
204,vai ser unic salvaca http t co kkiobjsqgz,marca
177,bich ta sacan car ne tom caf pad pag deu autor tent x mesm cois agor acess aparent delet cont http t co qvgeqxmuo,produto
42,banc conseg cag vid obrig,marca
1561,relaca parcel segur pod ajud,produto
1237,zer reclamaco ta dand azar,marca
1487,problem itau quer larg bb poi condico,marca
1092,rt pag uau itau agor appl pay pag fic facil rap segur impression,marca
81,vai cobr  real tax me faz comerc bonit tv abert,marca
524,ruim cobr tax manutenca cobr agor gent fac,marca
507,app abr pq err pra atual qdo tent naveg comput inform app instal,marca
1219,quer encerr previdenc priv fac,produto
1185,faz dev pass vergonh crim http t co xgdywjhmm,marca
597,reclam viv obrig resolv problem vc rap man satisf,marca
1080,q gir fal adolesc,marca
1632,quer ver pont program fidel possi guardia,produto
397,seman receb ant sum histor mes receb ligaco oferec carta quis vou agenc vc promet,marca
274,ai disqu fic sistem   sext feir ai pesso aqu cas dinh,marca
307,pens fech cont filh migr pra instituica banc,marca
1505,fic dic cad vez perd client la escolh bande carta,marca
1534,gost sab qual tarif cobr cotaco utiliz cas saqu carta debit exteri rein unid precis realiz saqu moed local libr esterlin carta debit,produto
1241,sim fic duvid ser debit pod ser estorn maquin carta corret,produto
427,cois desgrac cabec pod pag impost app empr inaceita ter ir caix eletron pag cont pod faz app,marca
666,bom dia itau vc vao oferec produt via samsung pay maior pesso us celul samsung appl obrig,marca
1183,to deslumbr q mim cheg cont universit melhor banc vulg itau http t co ekdtixft,marca
1343,cadastr itau bik sp ach algum post regia mor gost cancel adesa acab efetu http t co knshkyuy,produto
680, real tax mens altiss atend qu lig pro banc exteri feliz vid sorr,marca
1458,ta hor fech cont long ano junt carta credit pra continu ne,marca
1141,fac peg emprest,produto
289,pq q ta ta funcion sistem bancari,marca
924,pod dar lux oferec serv onlin banking func dev pod dar lux cobr jur atras ne,marca
15,to sac chei,marca
436,to bem lis ai clon carta sac  cont bel horizont resolv nadaa,marca
1547,secul pra envi codig pra pod acess cont celul,produto
178,pag cont bar hoj  manh deu ar login app celul comput funcion dev  prat lav,produto
923,signif est gui entr dinh http t co pcphwmafz,produto
622,clic serv gt seguranc app fech automatic,produto
678,biometr tao import pra desbloqu carta avis pov trabalh itau pra registr client vai abr cont vez pass informaca err,marca
227,pra registr agradec desd antend soluca cas obrig,marca
1370,ted banc feit h manh agor nad aparec cont serv melhor serv menos ruim,produto
358,quer pag bolet deix obg,marca
343,ach dia tod,marca
1587,cobr segur n fiz ped p cancel n cancel n quer devolv pq diz pass praz cancel,produto
906,car tao cobr pra faz ted doc send ant faz tarif nenhum agor tao cobr  cont,marca
1464,acontec aplic itau empr consig faz transferenc desd seman pass,produto
995,rt corrupca compr sentenc ministr certiss stf,marca
819,sim aparec mens senh val consig acess app http t co yefvter,produto
1548,oi boa tard tax itau muit car convers outr client utiliz serv pag val baix lembr val tax send compati serv contrat acredit,produto
1584,receb sm link atual app android vc,produto
621,alo vou reclam nov agenc  vez to aqu  minut pra ser atend caix pra atend tod fil brinc corrent ness bost ne,marca
131,fa http t co ytfcrku,marca
1087,oi probl consig acess cont,produto
91,propagand zer avis carta func applepay chov ped don iphon quer ter pay client http t co oywabuwg,marca
527,citesuareclamaca hoj funcion conjunt obr nenhum satisfaca lev cornet app pc,marca
972,ach vou peg dinh nucont volt pra poupanc http t co vzoohkjww,marca
751,boa noit carta debit venc mai agor cheg nenhum nov norm,produto
627,oi ita troq aparelh celul fac pra ativ itoken nel,produto
757,oi anj ajud pleas poss mand dm,marca
124,apo trint ano client receb notificaca agenc vai mud quilometr distanc cas trabalh atenca banc particul fic dic perd client bancodobrasilninguemmerec http t co pcantjyd,marca
416,fic receb frequ centr atend florianopolil dev ter bloque vari numer ajud itau ahahhah aguent,marca
999,quer dat dificil anunci appl pay deix samsung pay aff,marca
1081,tir duvid dm sobr program vc,marca
494,oi bloque carta debit cont perd precis ped  via dificuldad ach atend cert pra pod orient melhor,produto
421,obrig fatur venc ont cheg hoj incompetenc correi jur vai vir me vem recl http t co qvkkger,marca
275,fil tav grand,marca
624,cancel tax maxxicont,produto
510,forc instal app pra us banc comput diss consig us naveg app tb func fac alem mud banc,marca
1147,rt gost bast poi  instituica financ respeit client,marca
1017,curt pagin dess banc priv qu acab aposentad cl trabalh pagu dev previdenc pilantr,marca
287, minut tent encontr telefon agenc internet ach fax ai resolv gast temp  ped diret itau telefon agenc  minut consegu atend pass adiv,marca
876,itau inimig pov,marca
804,rt recurs googl pay adquir iphon pra pod pag debit carta,marca
1036,entend porqu retir atend onlin sit resolv tud ali agor envi email nunc respond,marca
1472,to quas instal outr concorr,marca
1629,senh pra us app internet bank,produto
652,deu cert vlw,marca
929,exist algum previsa resolv problem app consig faz pag transferenc tud cont ult atualizaca versa   ,produto
725,app android vai pod utiliz desbloquei digit exist algum praz carto itau ser inser samsungpay,marca
609,to esper mand carta credit pra mim,produto
