	query	data	usuario	conteudo	retweets	favoritos	local	seguidores	amigos
986769877561159681	bradesco	2018-04-19 00:54:06	neide beatriz	BRADESCO.. TENHO CONTA COM VOCÊS..  PEGUEM LEVE.. PEGUEM LEVE   QUE CENA TRISTE E DEPRIMENTE...SERA QUE EXISTE UM BANCO BOM DE VERDADE...SERIAS DÚVIDAS.. SÉRIAS DÚVIDAS!!!... https://t.co/2y1t4zQb7Y	0	0		30	56
986769822636797952	bradesco	2018-04-19 00:53:53	Bradesco	@pcaricchio Oi! Não é possível ter os dois dispositivos ao mesmo tempo. Caso queira usar o Token Físico ao invés do Token no App me avise aqui para que registre seu apontamento para a agência te disponibilizá-lo por favor.	0	0		157335	4635
986769712653783041	bradesco	2018-04-19 00:53:27	Bradesco	@gustavoscabello Entendo, fico á disposição :)	0	0		157335	4635
986769651291033605	bradesco	2018-04-19 00:53:12	pexera	eu digo isso pra todo mundo: NUNCA USEM O @Bradesco pra NADA NESSA VIDA, QUE BANCO HORRÍVEL LIXO DO CARALHOOOOOOOOOOOOOOOOOOOOOO	0	0		115	141
986769402317205504	bradesco	2018-04-19 00:52:13	victoria	"RT @IsabelVicsf: Até dando rt já vão me ajudar muito ??
Dados bancários: 
Conta - 23717-5 
Agência - 1700-0
Patrícia Fernanda dos Santos Fe…"	8	0		558	325
986769349980631041	bradesco	2018-04-19 00:52:00	Bradesco	@Raffinha_Castro Que ótimo! Fico à disposição! ?	0	0		157335	4635
986769265335390209	bradesco	2018-04-19 00:51:40	Carlos Skarlack	RT @leonardo_arruda: Vereadora Julia Arruda (PDT) pela Frente Parlamentar da Criança e do Adolescente da Câmara Municipal de Natal, hoje em…	2	0		3447	2174
986768968688992256	bradesco	2018-04-19 00:50:30	Bradesco	@olatropia Oi, Você pode procurar ajuda na página oficial segue link: https://t.co/cLBKqpfogT	0	0		157335	4635
986768913101926400	bradesco	2018-04-19 00:50:16	Flavio Anselmo	RT @leonardo_arruda: Vereadora Julia Arruda (PDT) pela Frente Parlamentar da Criança e do Adolescente da Câmara Municipal de Natal, hoje em…	2	0		3700	3251
986768811591421954	bradesco	2018-04-19 00:49:52	Leonardo Arruda	Vereadora Julia Arruda (PDT) pela Frente Parlamentar da Criança e do Adolescente da Câmara Municipal de Natal, hoje em visita à Fundação Bradesco, no bairro Felipe Camarão.    https://t.co/pFRk40y5MU	2	0		14007	6224
986768365699158018	bradesco	2018-04-19 00:48:06	é vitória, não vitoriá	desci o murilopolis, ai a sandália fez bolha no pé - sim, o mesmo pé que eu fui lá fazer por causa da unha encravada. ai eu decidi que ia pegar um bus na rua da fundação bradesco pra casa	0	0		199	660
986768344413016064	bradesco	2018-04-19 00:48:01	Rafaela de Castro	"@Bradesco Oi, eu liguei no fone fácil e a atendente resolveu o meu problema em poucos minutos. Era a chave de segurança que não queria ativar.
Muito obrigado ?"	0	0		112	39
986768196786184193	bradesco	2018-04-19 00:47:26	Ed Oliveira	RT @F_Derezende: Os quatro maiores bancos do mercado brasileiro - Itaú Unibanco, Bradesco, Banco do Brasil (BB) e Caixa - respondiam por 78…	7	0		1139	2367
986766177224544257	bradesco	2018-04-19 00:39:24	Juju	Eu só queria que o aplicativo do @Bradesco fosse mais prático para solicitar extrato! Que coisa complicada! ?	0	0		112	157
986764047029821441	bradesco	2018-04-19 00:30:56	Talia	RT @adrii_cardoso: @talialopes8 O dor Lucas é demais e ele é um dos professores mais inteligentes do bradesco uma pena q nem todo mundo per…	1	0		786	704
986763943078252544	bradesco	2018-04-19 00:30:31	Ketley ?	"RT @deprecomments: Faltam 3 dias !!!!!! 

Espetáculo Léo e Bia  ? 

21/04- Teatro Bradesco ( Belo Horizonte ) QUEM VAMOS ? 

vendas: https:…"	3	0		227	326
986763766732939264	bradesco	2018-04-19 00:29:49	Adriely Cardoso??	@talialopes8 O dor Lucas é demais e ele é um dos professores mais inteligentes do bradesco uma pena q nem todo mundo perceba disso ?	1	1		671	207
986763407603961863	bradesco	2018-04-19 00:28:24	João Victor #timbeta	"""Caixas rápidos"" #FoursquareFind @ Bradesco Central Facil https://t.co/JultksdSmN"	0	1		656	810
986762794585477121	bradesco	2018-04-19 00:25:58	Gabriel	Gabriel SUPER BRADESCO	0	0		65	83
986762305810632704	bradesco	2018-04-19 00:24:01	Rogério Pereira	Porque a @Caixa o @Bradesco e o @BancodoBrasil não tem a função @ApplePayBR ?	0	0		1492	1124
986762236948631555	bradesco	2018-04-19 00:23:45	Lessa	@Bradesco baixei o app da Bradesco dps de ir no banco duas vezes, eu n tinha internet pra abrir a conta no aplicativo e a agência tava c wifi ruim, só isso msm, nada dms	0	0		802	585
986761472737972224	bradesco	2018-04-19 00:20:42	Júlia Arruda	A Frente da Criança e do Adolescente da @CamaraNat esteve hoje na Fundação Bradesco, uma instituição filantrópica em Felipe Camarão, que atende a quase mil alunos da Educação Infantil ao Ensino Médio, e outros mil em EJA e cursos técnicos e profissionalizantes. (+) #JuliaArruda https://t.co/OcvwK7IMBr	0	0		18304	2085
986761400793075712	bradesco	2018-04-19 00:20:25	nati n sabe oq fazer com a vida dela	RT @Brunozor: fui ve essa la casa de papel agora toda vez que passo na frente de um bradesco já começo pensar nas possibilidades	760	0		996	1663
986761149566898176	bradesco	2018-04-19 00:19:25	Belém Chaos	@ge_peregrino @NETatende @NEToficial @ReclameAQUI @ReclameBelem @AbsurdosBelem @belemdenuncia Se eu te falar que até do Bradesco inventam cobrança inexistente... Tem que tomar muito cuidado.	0	0		988	18
986760918431424513	bradesco	2018-04-19 00:18:30	Letícinha Mello	@pedraobezera Migo , entra no site da fundaçao bradesco , la da esses cursos e certificado	0	0		369	779
986760624083472384	bradesco	2018-04-19 00:17:20	Thierry!!??	Bradesco rouba muito, Deus me livre!!!	0	0		2377	763
