index,conteudo,CLASSIFICAÇÃO
223,vou procur outr banc segund abr cont pj vou cancel meeeeerd talv que nov client,marca
805,rt lib googl pay prfv,marca
832,ola consig pag bolet app vc manutenca la,produto
152,log hoj cancel carta atend,marca
1160,rt faz cobranc indev segund gerent reembols dobr artig  cdc aplic pq contrat pe,produto
411,app pess leit otic le ai vc vai digit err tr ai vc vai refaz app diz exist sessa and trav app infinit superi http t co rwbfwmsny,marca
100,brasil fund poc imag vc quer pass preocupaca futebol eit,marca
1005,recurs googl pay adquir iphon pra pod pag debit carta,marca
539,agor desacredit atend agenc  perd esperanc mund melhor,marca
1223,pra arrum cois err  prim vai ser burr put par ajud,marca
96,fod banc banc empresari pra ser melhor pal poi pod faz lo cresc pi junt poli,marca
612, minut sim garot p atend  pesso caix uniclas fic dificil,marca
590,dev contrat seguranc agress,marca
872,oie tud bem to consegu cadastr appl pay aind ta problem algum carto bande mast,produto
854,fiz financ agenc inform vend veicul detran mult  pont cart   err agenc agor fic,produto
85,rt cad itau respond,marca
816,problem opca receb codig sm numer celul ta err porqu atualiz cadastr,produto
991,agenc goian  var pesso tent entr agenc carta ning pass exist outr agenc mesm quadr func,marca
626,boa tard itau problem mei send resolv fiz pag fatur carta sext ped  dia utel quitaca debit agor esper agradec ajud,produto
1469,descubr hoj q pag agend pro dia  pag avis q problem operac tir fer ach q tud pag val bor la peg mult volt ne,produto
1029,bom sab melhor banc precis ter,marca
400,prepar dar suport applepay tent app centr atrav telefon exib applepay      inform atend anteri nad desist fail,marca
619,consig acess app pesso dificuldad entend precis desenh mand fot bug detalh cas sei pq continu perd temp aqu vc desist obrig temp ind agenc,produto
1200,atend funcionari usou emotion brav pq respond send w aguard respost to abus dess banc pess atend sempr precis http t co npdjqnsq,produto
1016,itau golp,marca
1439,maquin qnd coloc quatr bloque jeit maquin ped seil maquin ped quatr quer list maquin us seil us quatr digit pra sab ond bot,produto
1008,samsung pay bom nad,marca
1377,consig jeit nenhum acess app err desd ont http t co crqonsju,produto
261,man vc fals ta lig esper vc venh falenc tod pesso q conhec q cont itau tao cancel caus diss vc n noca prejuiz q vo pra vc muit luz ai pq aqu vai falt grac vc aguard,marca
575,amo mil lug pra ir fic pres fil banc pq caix qu ler biometr doi ded cadastr der algum tent pra us senh,marca
171,excel banc excel carto app,marca
169,menos lig oferec produt kkk sab exist agor santand brad viv lig oferec cont prim fic dic,marca
1123,ador pod adicion debit,marca
1126,ta quebr pern nov versa app impossi pag qqr bolet,marca
823,falt maquin receb  maquin carta tent uma  funcion,marca
284,quer aqu paraben pess atend desconsideraca client fort abrac,marca
255,abr cont doi dia nit lav itau ta perd  ano,marca
390,comerc lind appl pay carta am,marca
849,fic esper sol entr vez http t co zfjaerx,marca
644,ach q print numer ta sufici p vc pesquis mand cel cpf email serv p aliment cart client dai sim centr vc mand msg oferec serv feliz brad,marca
1258,boa tard duvid estorn compr feit carta debit dev ser imediat fiz compr x loj x compr cancel pag via debit diss devoluca  dia aguard,produto
1206,doming pa falh nov tent exclu inclu carta nov wallet sistem vc func desist,marca
1130,gerent banc demit apo public fot noiv red soc denunc sindicat http t co jpydyuwh via,marca
1434,solicit nov carta cont praz entreg venc inform sab ond par carta envi q itau codig rastrei sugesta itau solic nov carta esper um  dia,produto
529,acredit poss exist banc noca  ano relacion jog dia caus incompetenc,marca
558,pq itau  hor lament vai alter fat consegu pag ter pag jur agor,marca
1315,ach pod ped sistem operac tod comput celul porqu nenhum app func func pra dar raiv,marca
340,agenc cidad abr  cheg la funcionari fal pra corrent atend ,marca
1406,desktop emissa bolet vem oscil bast aparec serv disponi,produto
469,carta  exist eh desconhec send cobr segund parcel http t co iipcexonsv,marca
1633,cois odei ness vid merd guardia,marca
738,olh sinc quer mand vc pra put q par tax abus arrombafoooooll tax fossr tip ahhhhhhh eh pra salv mund blz man daor eh pra encu cy dinheor pob http t co evyzdec,marca
1110,pessoal marketing quer suger fac post sobr alert fraud red soc poi infeliz aind rol ach perfil anunci rod fak ta tent roub pov cert obrig b,marca
1586,carta cont fic dand err leit tod vez,produto
616,turm alg rol app empresar consig faz transf celul mostr favorec fic ped pra repet operaca desd ont,produto
960,obrig internet bank est ar tant pf pj aceit propost portabil,marca
722,melhor comerc music dev that s good,marca
1332,heiaheush par atual app tod hor ta otim guardia  hor cad atualizaca sacrifici val,marca
856,vou perd temp pq vc respond caus nom ser difer cont etc poss diz entr app itau vou aba carto clic appl play selecion carta receb desculp problem,marca
1460,oi pod ajud resolv problem bacan atualiz sistem dad cadastr corret pra pod ped  via carta,produto
909, dia kkkkkk comprov  dia util ai funcionari q banc q ment vc brinc send q propri sit  dia utel max explic,marca
994,bco ladra,marca
313,pq agenc atend respec telefon funcionari publ acas p gost trabalh,marca
1291,comprov rend serv extrat bancari,produto
1004,devolv dinh amo banc,marca
1056,bloque senh carta debit consig faz desbloquei caix eletron ser caix ir caix poss ir outr agenc,produto
555,precis ajud,produto
1366,entr acord bacen bacen diz max hor decorr dia precis cheg acord,produto
499, tent us pay carto  sucess  falh algu ai sab applepay itau,marca
1311,  fic loop etern consig ped simpl carta,produto
151,car faz propagand carac pra sempr agor abr cont lev  minut falt pergunt tip sang pal pra abr cont corr meg estress,marca
1602,to tent peg extrat consolid diz ta disponi,produto
1572,gost explicaca sobr diferenc cambi obrig,produto
788, hor mei esper cair ted tao parab viu,marca
759,obrig exist,marca
258,cert trabalh appl dai exclus  dia atras samsungpay,marca
475,acontec nad naoq uer pag  real tax pra ter cont,marca
11,acus quer dar golp compr post gasolin tremend fur dess marketing sei process post itau ambos solid ta irrit,marca
22,cad samsung pay,marca
550,cancel entreg extrat consolid via correi serv cancel desd fever  receb extrat esquec cancel cobranc serv real  centav,produto
76,elogi pro itau si pra agenc especif tod agenc pass atend satisfaz,marca
65,anunci alg hav ide coment tweet anteri esper demor pra ativ carto appl pay acontec um carto co branded rt http t co wcbakklmg,marca
1276,bom atend itau resolv resolv nad ne mand duzent mens sobr problem agor ning diss proced,produto
1096,ai faz campanh cheg pert ser sp atual app continu us serv banc norm funcion tao sacan ne itauliberaorcamentoefazumappdec http t co jynijfja,marca
1149,rt pq respeit lei temp  segund val part moment client digit opca fal co,marca
1153,rt quer ir agenc vez respeit client,produto
647,ta fic chat am,marca
1111,client itau vi opca pag puls cert poss receb,produto
1272,rt vergonh melhor banc pal hoj serv agoniz vou tir cont,marca
901,sessa encerr falt utilizaca dev acess pod us sit bem bost,marca
47,problem cont aplic cheg preench informaco acess aparec mens op desculp melhor serv tent nov tard,produto
1414,consig desbloqu carta am tent tud ult altern ligaca enrol faz kkkk,produto
505,parab community manag pacienc respond mont recl parec crianc incri sempr bem educ atenci inf cert,marca
1132,via estada gerent gay demit banc apo post vide noiv facebook http t co jbbisjthx,marca
948,quas  real bolet outr vez q ir peg banc lev pra vc pq pod pag debit acontec venc fim seman,marca
109,fiz cont digit hoj carta credit debit cheg olh agenc solic outr teoric tud celul pratic etc sig aguard,produto
175,pass mai vergonh hor pag cont dar autor send dinh cont complic cois,produto
884,eai itau lib samsung pay debit outr app android mesm funca,marca
574,vou cancel tod cont pass pert dess banc,marca
897,parab esquec usuari samsung pay viu dar preferenc appl pay cheg agor esquec cheg prim descas sempr mesm desculp inutil fal test sempr itau ador sacan client,marca
912,quer elogi post relaca agend pagt efetu ult dia  reconhec err assum prejuiz realiz ressarc val mai problem client precis empr assim itau,marca
1467,consig faz app,produto
73,itau ar,marca
535,cobr  real p faz ted doc cont universit horri p qm inv p qlqr pesso simples qu faz transferenc n cobr nad p transferenc nucont agor vou pod invest rox pag,marca
1346,am crist mand mens sobr carta credit cont,marca
648,algu fal pro par mand sm renegoci div send dev nad banc,produto
159,rt hoj venh agradec ajud econom poi ness feri nad melhor fic cas descans,marca
720,caix opca pq carta provisori,produto
620,cobranc sid apo efetu pag bolet ach absurd poi demor  dia devolv val por agor resolv,produto
1197,faz pra dar volt bik,produto
1062,dev ter um  ano vc enrol pra coloc samsung pay ai pra appl cheg exclus abr agor cont banc pra pod utiliz serv samsung,marca
122,mand instal app ter seguranc jog volt tel pag,marca
1344,aloo ta hor faz propagand bik ein bikeitau,marca
1269,rt aloo ta hor faz propagand bik ein bikeitau,marca
613,trabalh vic legal ne contrat,marca
185,music comerc applepay lembr ritm ano ,marca
1453,carta algum ano itaucard tam fidel temp atr tbm hav ped aument limit neg agor aument bem agor ped precis limit mai neg ridicul,marca
681,atenca itau mud,marca
59,bast rar encontr atend tao efici continu assim,marca
387,precis cadastr favorec transfer dinh cont,produto
1418,rt gost entend algum logic banc oferec saqu biometr agenc precis carta,marca
330,propri dia   vc entr contat prim titul cont solicit agor receb carta solicitaca,produto
135,instalaca guardia mac nunc func redond imac macbook instalaca consig acess,marca
674,senh eletron tent liber itoken assim coloc carta term itau fal pra ir pra dentr agenc cadastr biometr,produto
144,consig cadastr carta responsa suport tk,produto
806,client banc int infeliz famil depend itau salari portabil total fud caus dess monopoli ai transf,marca
401,rt dand ingress pra ver guerr infinit itau pow shopping n cit banc venh,marca
260,solicit nov carta algum dia atr engan exat  dia hoj receb precis receb lo entr nov contat prest carta negoci prec anuidad absurdament,produto
195,banc merd pulh vao infern lig bri quadrilh gravat banc mal,marca
292,quer carta diferenci enfrent fil,marca
1015,cad carta ano vem,produto
568,exp questa pessoal exp falh empresar,marca
1217,enta codig exp pud ajud nad,produto
1504,tax cambi complet abus viaj ta dificil demal,marca
480,problem filh opt ingress aca judic contr itau,marca
295,ajud pass carta debit deu ta bloque sald help,produto
658,algu problem pra acess app,produto
553,precis ajud algu tent chat poi corrent aba chat especi funcion,marca
25,rt  music playlist playlist feit pra v c escut rock music ano ,marca
936,pra twitt n respond simpl duvid corrent melhor aprend utiliz red soc benefici pag cont,marca
717,ajud,marca
425,consig cadastr carta,produto
310,fal problem tend banc twitt ach va resolv hsushsushsuah,marca
386,algum notic sobr integraca carto samsung pay android pay,marca
1296,olh car respond tao mto loc,marca
130,capit deu cert pra otari trabalh aument impost combusti plan saud kct  tud outr instituico div pratic perdo pag   div trem perda http t co aetpcoai,marca
526,ter opca carta debit tbm,produto
1052,ach dev pens corrent samsung cri aplic android,marca
765,agor chate aplic pq to consegu acess itoken to consegu pag fatur,produto
1638,vc precis trein pont vend sab oper appl pay,marca
383,crei algu trabalh banc horari parab dev serv exempl coleg bancari,marca
1150,rt assim enquant viv hoj faz xx dia deix ser client banc respeit client pag,marca
1356,duvid vai exist algum cobranc part appl transaca,produto
596,fac pra mud,marca
1117,pra ter inov niss faz temp vai faz mes agor nad diz trabalh niss ach ia ser prim ser nubank engan,marca
